brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
60594.0,for_sale,559900.0,3.0,4.0,0.05,581549.0,Carteret,New Jersey,7008.0,2064.0,2016-03-18
103958.0,for_sale,599900.0,7.0,2.0,0.1,1539671.0,Carteret,New Jersey,7008.0,2200.0,2005-08-23
22706.0,for_sale,649900.0,3.0,3.0,0.15,956182.0,Clifton,New Jersey,7013.0,1863.0,2001-01-30
16837.0,for_sale,450000.0,4.0,2.0,0.15,1698107.0,Clifton,New Jersey,7013.0,1369.0,2019-04-24
53016.0,for_sale,899000.0,3.0,4.0,0.14,887172.0,Cranford,New Jersey,7016.0,4498.0,2014-08-07
91664.0,for_sale,1149999.0,5.0,4.0,0.33,1447681.0,Cranford,New Jersey,7016.0,3598.0,2020-09-18
15676.0,for_sale,323000.0,3.0,2.0,0.05,1210259.0,East Orange,New Jersey,7017.0,1326.0,2007-07-06
16837.0,for_sale,272000.0,3.0,2.0,0.09,1260114.0,East Orange,New Jersey,7018.0,1408.0,2004-02-05
22611.0,for_sale,800000.0,5.0,4.0,0.32,1310712.0,Rockaway,New Jersey,7866.0,3613.0,2018-01-03
16419.0,for_sale,2900000.0,5.0,6.0,0.25,476321.0,Edgewater,New Jersey,7020.0,5200.0,2017-11-21
22677.0,for_sale,850000.0,4.0,4.0,0.12,654007.0,Fanwood,New Jersey,7023.0,2600.0,2019-07-01
106831.0,for_sale,549999.0,3.0,2.0,0.15,1306115.0,Cedar Grove,New Jersey,7009.0,2000.0,1985-11-18
22659.0,for_sale,399900.0,3.0,2.0,0.12,386520.0,Cedar Grove,New Jersey,7009.0,1378.0,2004-05-14
67144.0,for_sale,2690000.0,9.0,9.0,0.82,12055.0,Cedar Grove,New Jersey,7009.0,14000.0,1995-07-21
67144.0,for_sale,1500000.0,5.0,6.0,0.72,1556346.0,Cedar Grove,New Jersey,7009.0,5094.0,2006-01-11
78990.0,for_sale,724999.0,4.0,4.0,0.12,14136.0,Cedar Grove,New Jersey,7009.0,1900.0,2021-09-29
67144.0,for_sale,1360000.0,5.0,6.0,0.72,15374.0,Cedar Grove,New Jersey,7009.0,5094.0,2006-01-11
52983.0,for_sale,725000.0,7.0,4.0,0.28,313015.0,Garfield,New Jersey,7026.0,19998.0,1998-04-02
104850.0,for_sale,410000.0,4.0,2.0,0.05,638186.0,Garfield,New Jersey,7026.0,1556.0,1997-11-03
52983.0,for_sale,585000.0,5.0,3.0,0.11,1362650.0,Garfield,New Jersey,7026.0,19998.0,1993-05-20
10768.0,for_sale,589000.0,6.0,4.0,0.04,270282.0,Garfield,New Jersey,7026.0,1800.0,2019-05-13
106831.0,for_sale,679000.0,5.0,3.0,0.09,690041.0,Garfield,New Jersey,7026.0,2600.0,2020-05-21
79827.0,for_sale,899000.0,4.0,4.0,0.13,1207656.0,Clifton,New Jersey,7014.0,2200.0,2021-03-09
72508.0,for_sale,1575000.0,3.0,2.0,20.0,1103891.0,Brooklyn,New York,11225.0,2400.0,1987-11-27
7601.0,for_sale,890000.0,7.0,3.0,0.1,827110.0,Bronx,New York,10468.0,2824.0,1996-03-08
20086.0,for_sale,1700000.0,5.0,5.0,0.06,1089861.0,Jackson Heights,New York,11372.0,2800.0,1999-06-21
30399.0,for_sale,1500000.0,8.0,3.0,0.04,1549164.0,Brooklyn,New York,11221.0,2700.0,2010-02-22
109944.0,for_sale,1700000.0,9.0,6.0,0.19,1062156.0,Brooklyn,New York,11226.0,2845.0,2004-01-14
16929.0,for_sale,3500000.0,5.0,4.0,0.03,175314.0,New York City,New York,11205.0,3224.0,2017-09-28
16837.0,for_sale,175000.0,2.0,3.0,0.07,1826425.0,East Orange,New Jersey,7017.0,1144.0,1999-12-21
106722.0,for_sale,239999.0,2.0,2.0,0.06,662010.0,East Orange,New Jersey,7017.0,11825.0,1999-01-19
79880.0,for_sale,380000.0,3.0,4.0,0.02,1531505.0,East Orange,New Jersey,7017.0,1636.0,2019-03-13
92154.0,for_sale,560000.0,7.0,4.0,0.11,1629066.0,East Orange,New Jersey,7017.0,19998.0,2021-03-02
53135.0,for_sale,489000.0,5.0,3.0,0.11,586855.0,East Orange,New Jersey,7017.0,2166.0,2020-10-20
78573.0,for_sale,329000.0,5.0,3.0,0.1,1121790.0,East Orange,New Jersey,7017.0,20997.0,2022-01-21
110122.0,for_sale,369000.0,3.0,3.0,0.1,977652.0,East Orange,New Jersey,7017.0,1452.0,2011-11-14
76522.0,for_sale,369000.0,6.0,3.0,0.06,191968.0,East Orange,New Jersey,7017.0,2750.0,2018-02-09
91664.0,for_sale,385000.0,8.0,2.0,0.08,578119.0,East Orange,New Jersey,7017.0,19998.0,2008-09-17
22611.0,for_sale,630000.0,5.0,3.0,0.07,1486543.0,East Orange,New Jersey,7017.0,2251.0,2020-10-28
22611.0,for_sale,589000.0,4.0,2.0,0.13,750952.0,Garwood,New Jersey,7027.0,19998.0,2015-02-11
48542.0,for_sale,259000.0,8.0,4.0,0.07,254388.0,Irvington,New Jersey,7111.0,3350.0,2019-05-09
30765.0,for_sale,289900.0,8.0,3.0,0.06,1784793.0,Newark,New Jersey,7104.0,3200.0,2008-12-17
22611.0,for_sale,649000.0,5.0,3.0,0.26,1653033.0,Denville,New Jersey,7834.0,3660.0,2008-06-25
103958.0,for_sale,1299990.0,5.0,5.0,0.6,597207.0,Montville,New Jersey,7045.0,4933.0,2021-12-10
106810.0,for_sale,1695000.0,3.0,4.0,0.7,1437716.0,Summit,New Jersey,7901.0,3755.0,2002-02-26
8572.0,for_sale,300000.0,5.0,1.0,0.1,985946.0,Irvington,New Jersey,7111.0,19998.0,1997-05-06
34274.0,for_sale,229000.0,1.0,2.0,0.32,7277.0,Verona,New Jersey,7044.0,1200.0,1999-04-14
76946.0,for_sale,1499000.0,5.0,10.0,1.0,1136682.0,Livingston,New Jersey,7039.0,10000.0,2015-02-20
30765.0,for_sale,500000.0,5.0,4.0,0.03,847789.0,Newark,New Jersey,7104.0,2640.0,1985-03-06
105474.0,for_sale,435000.0,7.0,3.0,0.08,504895.0,Irvington,New Jersey,7111.0,29997.0,2017-03-17
106691.0,for_sale,515000.0,7.0,5.0,0.08,547873.0,Newark,New Jersey,7112.0,2955.0,2017-10-26
79747.0,for_sale,610000.0,6.0,5.0,0.08,1422842.0,Newark,New Jersey,7103.0,3165.0,2019-08-21
79747.0,for_sale,610000.0,6.0,5.0,0.08,1420522.0,Newark,New Jersey,7103.0,3165.0,2019-08-21
37495.0,for_sale,525000.0,7.0,5.0,0.06,433577.0,Paterson,New Jersey,7524.0,2050.0,2020-10-30
37495.0,for_sale,589000.0,7.0,5.0,0.06,466449.0,Paterson,New Jersey,7501.0,2350.0,2014-03-11
22611.0,for_sale,399000.0,6.0,4.0,0.08,1213395.0,Irvington,New Jersey,7111.0,19998.0,1999-08-05
96715.0,for_sale,460000.0,6.0,3.0,0.06,589112.0,Newark,New Jersey,7107.0,3600.0,2020-07-10
16954.0,for_sale,500000.0,7.0,5.0,0.06,1096789.0,Newark,New Jersey,7112.0,10008.0,2021-11-08
37302.0,for_sale,825000.0,5.0,6.0,0.96,810086.0,City of Orange Township,New Jersey,7050.0,5767.0,2011-02-18
30143.0,for_sale,365000.0,4.0,2.0,0.06,1285203.0,Carteret,New Jersey,7008.0,1760.0,2003-02-08
60594.0,for_sale,474900.0,5.0,2.0,0.17,1653614.0,Carteret,New Jersey,7008.0,2208.0,2018-08-02
48366.0,for_sale,524999.0,4.0,3.0,0.08,1758809.0,Carteret,New Jersey,7008.0,2192.0,2014-08-29
60594.0,for_sale,515000.0,5.0,2.0,0.14,180840.0,Carteret,New Jersey,7008.0,2154.0,2005-07-28
48366.0,for_sale,435000.0,3.0,3.0,0.07,196792.0,Carteret,New Jersey,7008.0,2004.0,2021-12-09
48366.0,for_sale,349900.0,3.0,2.0,0.09,1382971.0,Carteret,New Jersey,7008.0,1499.0,2022-03-11
78389.0,for_sale,395000.0,3.0,2.0,0.11,847070.0,Carteret,New Jersey,7008.0,1728.0,2021-09-29
39710.0,for_sale,399900.0,4.0,1.0,0.1,8543.0,Carteret,New Jersey,7008.0,1650.0,2006-07-17
79257.0,for_sale,399900.0,3.0,2.0,0.11,831358.0,Carteret,New Jersey,7008.0,1368.0,2017-10-18
81773.0,for_sale,350000.0,3.0,1.0,0.17,794032.0,Carteret,New Jersey,7008.0,936.0,2000-11-16
15872.0,for_sale,387500.0,3.0,1.0,0.12,46680.0,Carteret,New Jersey,7008.0,1008.0,2014-01-27
60594.0,for_sale,579900.0,4.0,3.0,0.17,1336374.0,Carteret,New Jersey,7008.0,2150.0,2021-02-16
22611.0,for_sale,299000.0,2.0,3.0,0.15,1245522.0,Newark,New Jersey,7106.0,1661.0,1990-03-23
96848.0,for_sale,489000.0,6.0,4.0,0.09,1750163.0,Newark,New Jersey,7108.0,29997.0,2019-11-04
15692.0,for_sale,469900.0,3.0,2.0,0.23,876092.0,Totowa Boro,New Jersey,7512.0,2031.0,2000-04-28
79711.0,for_sale,439000.0,6.0,4.0,0.09,186173.0,Newark,New Jersey,7106.0,900.0,1992-05-14
22611.0,for_sale,1095000.0,3.0,3.0,2.0,794453.0,Madison,New Jersey,7940.0,2700.0,2019-11-07
16270.0,for_sale,649000.0,4.0,3.0,4.37,91782.0,Montville Township,New Jersey,7045.0,2916.0,2015-02-04
16837.0,for_sale,325000.0,3.0,3.0,0.07,822459.0,East Orange,New Jersey,7018.0,1496.0,2017-01-11
91664.0,for_sale,549900.0,9.0,4.0,0.12,958174.0,Passaic,New Jersey,7055.0,3890.0,2009-03-05
22611.0,for_sale,565000.0,4.0,3.0,0.12,652682.0,Madison,New Jersey,7940.0,2175.0,2021-09-23
22611.0,for_sale,700000.0,6.0,4.0,0.16,1244253.0,Fair Lawn,New Jersey,7410.0,2568.0,2006-10-31
110122.0,for_sale,599900.0,4.0,4.0,0.18,1415767.0,South Orange Village,New Jersey,7079.0,2150.0,2021-04-20
104850.0,for_sale,3995000.0,5.0,6.0,0.7,1395442.0,Millburn,New Jersey,7078.0,5800.0,2017-09-18
22611.0,for_sale,339900.0,2.0,2.0,0.13,58061.0,Lincoln Park,New Jersey,7035.0,1271.0,2000-08-23
69135.0,for_sale,1150000.0,7.0,3.0,0.14,809329.0,Bronx,New York,10468.0,3614.0,2004-03-23
53300.0,for_sale,950000.0,5.0,2.0,0.05,1478741.0,Bronx,New York,10471.0,2056.0,2015-11-16
53550.0,for_sale,799900.0,3.0,3.0,0.23,764836.0,Glen Rock,New Jersey,7452.0,1993.0,2003-12-16
23066.0,for_sale,945000.0,1.0,1.0,0.17,483689.0,New York City,New York,10023.0,700.0,2014-11-15
86501.0,for_sale,680000.0,2.0,1.0,0.02,1634719.0,Brooklyn,New York,11232.0,672.0,2017-04-11
79723.0,for_sale,674900.0,6.0,5.0,0.06,1658036.0,Newark,New Jersey,7104.0,1998.0,2020-05-05
55047.0,for_sale,1299000.0,7.0,3.0,0.07,1131526.0,Brooklyn,New York,11207.0,3000.0,2013-03-25
85101.0,for_sale,2088000.0,5.0,3.0,0.05,360852.0,Brooklyn,New York,11206.0,1944.0,2007-11-30
733.0,for_sale,2200000.0,10.0,5.0,0.03,712508.0,Brooklyn,New York,11215.0,5680.0,2013-03-11
27111.0,for_sale,799000.0,4.0,2.0,0.05,1452338.0,Maspeth,New York,11378.0,1300.0,1987-03-23
67144.0,for_sale,1199000.0,6.0,4.0,0.36,1401211.0,Montclair,New Jersey,7043.0,4392.0,2013-03-25
96413.0,for_sale,689000.0,5.0,3.0,0.43,810007.0,Montville Township,New Jersey,7058.0,18730.0,2016-02-23
94239.0,for_sale,755000.0,5.0,2.0,0.04,1818275.0,Bronx,New York,10456.0,2601.0,2018-03-06
108517.0,for_sale,1900000.0,8.0,6.0,0.06,1170505.0,Woodside,New York,11377.0,2500.0,2008-04-28
65539.0,for_sale,765000.0,1.0,1.0,0.11,823177.0,New York City,New York,11102.0,601.0,2017-07-17
81944.0,for_sale,2999000.0,6.0,6.0,0.05,1357475.0,Brooklyn,New York,11220.0,4600.0,2017-03-01
7601.0,for_sale,989000.0,8.0,6.0,0.03,1266388.0,Bronx,New York,10457.0,2779.0,2018-05-22
52983.0,for_sale,529000.0,3.0,4.0,0.09,1069142.0,Paterson,New Jersey,7504.0,2306.0,1996-01-19
81265.0,for_sale,725000.0,4.0,3.0,0.05,378917.0,Bronx,New York,10460.0,1900.0,2005-07-25
14130.0,for_sale,759999.0,3.0,5.0,0.04,512353.0,Brooklyn,New York,11207.0,750.0,1988-09-16
88180.0,for_sale,4100000.0,3.0,3.0,0.16,986316.0,New York City,New York,10011.0,3007.0,2012-07-25
71098.0,for_sale,819000.0,5.0,3.0,0.06,1259562.0,Brooklyn,New York,11208.0,1582.0,1999-02-17
16837.0,for_sale,1395000.0,4.0,4.0,0.52,1807841.0,Franklin Lakes,New Jersey,7417.0,22521.0,2015-10-26
22659.0,for_sale,274900.0,2.0,1.0,0.12,483134.0,Lincoln Park,New Jersey,7035.0,1034.0,1986-08-20
66786.0,for_sale,970000.0,7.0,2.0,0.04,439325.0,Ridgewood,New York,11385.0,2340.0,1998-01-16
23592.0,for_sale,12995000.0,4.0,4.0,0.02,1141771.0,New York City,New York,10014.0,3650.0,2018-07-27
